INCIDENTNEIGHBORHOOD,Amount
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
Allegheny Center,1
