PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
307051774,23038735,10,2023-03-16T09:35:00,"800 Block Reunion Pl Pittsburgh, PA 15219",N,Bedford Dwellings,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a) Harassment.,509,,,,
307082554,23038816,27,2023-03-16T12:45:00,"N Braddock Ave & Alsace Way Pittsburgh, PA 15208",N,Homewood South,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1303,9,2,-79.8914147713041,40.4523839849004
307106971,23038916,99,2023-03-16T12:00:00,"1400 Block Locust St Pittsburgh, PA 15219",N,Bluff,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),103,6,3,-79.9854587006851,40.4360439740714
307112015,23038967,6,2023-03-16T17:54:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,North Oakland,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",403,6,6,-79.9979394803376,40.4429453058783
-3545212913,23039221,14,2023-03-17T05:05:00,"2100 Block Salisbury St Pittsburgh, PA 15210",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1608,3,3,-79.9769669244465,40.4192101569899
307139199,23038824,99,2023-03-16T12:57:00,"1900 Block Wightman St Pittsburgh, PA 15217",N,Squirrel Hill South,4,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1413,5,3,-79.9281247341305,40.4355669488151
309158680,23053615,6,2023-04-12T07:00:00,"500 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle,201,6,6,-79.9981194717119,40.4403400419921
309165930,23053633,6,2023-04-11T23:00:00,"2100 Block Merriman Way Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,1609,3,3,-79.9758757522832,40.4306554047301
309168723,23053667,6,2023-04-12T01:05:00,"400 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,3001,3,5,-79.9954275924693,40.4176850483442
309168868,23053660,5,2023-04-12T07:30:00,"1400 Block Beldale St Pittsburgh, PA 15233",N,Manchester,1,BURGLARY,3502 Burglary.,2107,6,1,-80.0280014167582,40.4590585188795
309170098,23053666,10,2023-04-12T09:27:00,"100 Block Blvd Of The Allies Pittsburgh, PA 15222",N,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201,6,6,-80.0049627484362,40.4393411197874
309170460,23053692,0,2023-04-12T10:07:00,"300 Block S Main St Pittsburgh, PA 15220",N,West End,6,99,9993 PFA Service with Weapons Supplement,2019,7,2,-79.9579476679689,40.4673830136992
307522371,23042007,0,2023-03-22T11:21:00,"Beacon St & Hobart Rd Pittsburgh, PA 15217",Y,Squirrel Hill South,4,99,3323 Stop Signs and Yield Signs. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1413,5,3,-79.9349492152133,40.432133482174
307558931,23042205,10,2023-03-22T15:20:00,"900 Block Proctor Way Pittsburgh, PA 15210",N,Allentown,3,SIMPLE ASSAULT,2701 Simple Assault.,1803,3,5,-79.9912223739605,40.4204613827673
